City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
121,121,Bredasdorp,ZA,-34.5322,20.0403,52.12,52.12,92,49,3.31,scattered clouds,2022-08-05 23:32:03
122,122,Sinnamary,GF,5.3833,-52.95,78.53,78.53,78,3,9.48,clear sky,2022-08-05 23:32:04
123,123,Severo-Kurilsk,RU,50.6789,156.125,57.4,57.4,83,100,2.89,overcast clouds,2022-08-05 23:32:04
124,124,Cape Town,ZA,-33.9258,18.4232,57.11,48.11,91,75,3.44,broken clouds,2022-08-05 23:32:05
125,125,Zhuhai,CN,22.2769,113.5678,80.85,78.51,94,40,3.44,scattered clouds,2022-08-05 23:32:05
126,126,Hithadhoo,MV,-0.6,73.0833,82.08,82.08,74,82,12.21,broken clouds,2022-08-05 23:32:06
127,127,Cidreira,BR,-30.1811,-50.2056,51.8,51.8,74,62,8.84,broken clouds,2022-08-05 23:32:06
128,128,Longyearbyen,SJ,78.2186,15.6401,48.04,48.04,87,75,4.61,broken clouds,2022-08-05 23:32:07
129,129,Avarua,CK,-21.2078,-159.775,75.25,75.25,73,20,16.11,few clouds,2022-08-05 23:28:03
130,130,Tucuman,AR,-26.8241,-65.2226,60.8,60.8,63,100,6.91,overcast clouds,2022-08-05 23:32:07
131,131,Kolosovka,RU,56.4678,73.611,58.68,58.68,80,44,5.73,scattered clouds,2022-08-05 23:32:08
132,132,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,72.01,93,100,5.06,light rain,2022-08-05 23:32:08
133,133,Oranjestad,AW,12.524,-70.027,82.35,82.35,78,20,20.71,few clouds,2022-08-05 23:32:09
134,134,Kavieng,PG,-2.5744,150.7967,83.19,83.19,68,59,5.66,broken clouds,2022-08-05 23:32:09
135,135,Havelock,US,34.8791,-76.9013,87.78,82.94,79,94,3.0,overcast clouds,2022-08-05 23:23:48
136,136,Victoria,HK,22.2855,114.1577,82.26,79.03,92,96,5.01,overcast clouds,2022-08-05 23:22:24
137,137,Minna,NG,9.6139,6.5569,78.51,78.51,83,0,2.3,clear sky,2022-08-05 23:32:10
138,138,Chiredzi,ZW,-21.05,31.6667,64.83,64.83,53,0,4.9,clear sky,2022-08-05 23:33:11
139,139,Valdivia,CL,-39.8142,-73.2459,46.49,46.49,98,100,3.0,overcast clouds,2022-08-05 23:33:11
140,140,Haines Junction,CA,60.7522,-137.5108,62.55,62.55,55,100,6.91,overcast clouds,2022-08-05 23:33:12
141,141,Lebu,CL,-37.6167,-73.65,50.77,50.77,91,100,3.47,overcast clouds,2022-08-05 23:33:13
142,142,Katsuura,JP,35.1333,140.3,76.46,76.46,73,98,6.58,overcast clouds,2022-08-05 23:33:13
143,143,Puerto Ayora,EC,-0.7393,-90.3518,70.56,70.56,89,47,5.99,scattered clouds,2022-08-05 23:30:25
144,144,Igarka,RU,67.4667,86.5833,55.02,55.02,86,9,5.35,clear sky,2022-08-05 23:33:14
145,145,Roma,US,43.2128,-75.4557,82.54,77.58,78,20,5.75,few clouds,2022-08-05 23:33:15
146,146,Quebo,GW,11.3333,-14.9333,73.13,73.13,97,100,3.44,overcast clouds,2022-08-05 23:33:15
147,147,Tuktoyaktuk,CA,69.4541,-133.0374,77.0,77.0,38,40,12.66,scattered clouds,2022-08-05 23:33:15
148,148,Xushan,CN,30.1764,121.2457,87.73,87.73,68,25,6.44,scattered clouds,2022-08-05 23:33:16
149,149,Bosaso,SO,11.2842,49.1816,90.72,90.72,41,29,14.07,scattered clouds,2022-08-05 23:33:16
150,150,Bambous Virieux,MU,-20.3428,57.7575,68.25,65.21,83,40,14.97,scattered clouds,2022-08-05 23:33:17
151,151,Fare,PF,-16.7,-151.0167,76.96,76.96,78,59,24.05,light rain,2022-08-05 23:33:04
152,152,Vardo,NO,70.3705,31.1107,51.78,51.78,87,100,4.61,overcast clouds,2022-08-05 23:33:18
153,153,Bathsheba,BB,13.2167,-59.5167,83.01,81.05,88,20,20.71,few clouds,2022-08-05 23:33:18
154,154,Saint Simons,US,31.1352,-81.3901,87.84,84.06,64,0,11.5,clear sky,2022-08-05 23:29:20
155,155,Oussouye,SN,12.485,-16.5469,78.89,75.38,90,100,9.42,light rain,2022-08-05 23:33:19
156,156,Marsa Matruh,EG,31.3525,27.2453,77.2,77.2,78,20,4.61,few clouds,2022-08-05 23:33:19
157,157,Dali,CN,25.7,100.1833,63.91,63.91,88,55,0.67,broken clouds,2022-08-05 23:33:20
158,158,Hay River,CA,60.8156,-115.7999,64.38,64.36,52,40,11.5,scattered clouds,2022-08-05 23:33:20
159,159,Alegre,BR,-20.7636,-41.5331,71.94,71.94,45,0,3.24,clear sky,2022-08-05 23:28:29
160,160,Maturin,VE,9.75,-63.1767,74.03,74.03,97,100,5.28,overcast clouds,2022-08-05 23:30:07
161,161,Sakakah,SA,29.9697,40.2064,90.97,90.97,25,51,18.57,broken clouds,2022-08-05 23:33:21
162,162,Ilhabela,BR,-23.7781,-45.3581,66.36,66.36,85,93,3.85,overcast clouds,2022-08-05 23:33:22
163,163,Matara,LK,5.9485,80.5353,76.84,76.84,86,100,11.63,overcast clouds,2022-08-05 23:28:04
164,164,Sembe,CG,1.6481,14.5806,70.05,70.05,98,90,2.19,overcast clouds,2022-08-05 23:33:22
165,165,Geraldton,AU,-28.7667,114.6,43.21,43.21,93,4,10.36,clear sky,2022-08-05 23:26:45
166,166,Port Lincoln,AU,-34.7333,135.8667,55.31,55.31,67,19,12.01,few clouds,2022-08-05 23:33:23
167,167,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,54.41,54.41,52,0,7.52,clear sky,2022-08-05 23:33:24
168,168,Iqaluit,CA,63.7506,-68.5145,44.33,44.33,91,75,3.44,broken clouds,2022-08-05 23:29:16
169,169,Alice Springs,AU,-23.7,133.8833,47.75,47.75,46,0,3.44,clear sky,2022-08-05 23:30:13
170,170,Tuatapere,NZ,-46.1333,167.6833,52.07,52.07,85,59,5.46,light rain,2022-08-05 23:26:41
171,171,Vavatenina,MG,-17.4667,49.2,58.59,58.59,99,15,2.48,few clouds,2022-08-05 23:33:25
172,172,Santa Rosa,PH,14.3122,121.1114,78.78,77.02,92,100,3.2,overcast clouds,2022-08-05 23:33:25
173,173,Mandalgovi,MN,45.7625,106.2708,62.28,62.28,74,17,19.55,few clouds,2022-08-05 23:33:26
174,174,Murdochville,CA,48.9583,-65.5006,58.08,58.08,60,1,2.59,clear sky,2022-08-05 23:33:26
175,175,Woodward,US,36.4337,-99.3904,104.97,99.52,31,40,10.36,scattered clouds,2022-08-05 23:32:00
176,176,Marktredwitz,DE,50.005,12.0811,61.25,54.81,92,100,3.0,light rain,2022-08-05 23:33:27
177,177,Kharan,PK,28.5833,65.4167,88.02,88.02,37,38,3.36,scattered clouds,2022-08-05 23:33:27
178,178,Yago,MX,21.8333,-105.0667,84.78,84.78,84,69,3.94,broken clouds,2022-08-05 23:33:28
179,179,Chapais,CA,49.7834,-74.8492,69.58,69.58,44,26,2.86,scattered clouds,2022-08-05 23:26:45
180,180,Birao,CF,10.2849,22.7882,69.53,69.53,93,77,1.9,broken clouds,2022-08-05 23:25:23
181,181,San Juan,AR,-31.5375,-68.5364,57.11,57.11,45,2,6.98,clear sky,2022-08-05 23:30:43
182,182,Kabare,CD,-2.4683,28.8242,59.92,59.92,79,29,0.94,scattered clouds,2022-08-05 23:34:29
183,183,Barrow,US,71.2906,-156.7887,41.02,41.02,93,100,12.66,mist,2022-08-05 23:34:29
184,184,Beatrice,US,40.2681,-96.747,93.29,91.38,52,0,12.66,clear sky,2022-08-05 23:34:29
185,185,Dunedin,NZ,-45.8742,170.5036,54.81,54.81,70,100,1.99,overcast clouds,2022-08-05 23:34:30
186,186,Esperance,AU,-33.8667,121.9,51.44,51.44,79,99,9.55,overcast clouds,2022-08-05 23:34:30
187,187,Evensk,RU,61.95,159.2333,52.21,52.21,97,100,8.37,overcast clouds,2022-08-05 23:28:07
188,188,Acobamba,PE,-11.3525,-75.6594,52.99,52.99,95,97,4.27,overcast clouds,2022-08-05 23:34:31
189,189,Luderitz,,-26.6481,15.1594,60.8,60.8,61,65,4.9,broken clouds,2022-08-05 23:34:31
190,190,Karasburg,,-28.0167,18.75,60.48,60.48,31,100,11.36,overcast clouds,2022-08-05 23:34:32
191,191,Saint Anthony,US,45.0205,-93.218,88.84,84.09,51,0,19.57,clear sky,2022-08-05 23:34:32
192,192,Lompoc,US,34.6391,-120.4579,84.02,65.12,75,0,16.11,mist,2022-08-05 23:34:32
193,193,Bethel,US,41.3712,-73.414,86.09,78.39,75,0,5.75,clear sky,2022-08-05 23:34:33
194,194,Airai,TL,-8.9266,125.4092,65.52,65.52,71,81,2.98,broken clouds,2022-08-05 23:32:01
