City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,161,Great Bend,38.3645,-98.7648,79.03,72,0,12.66,US,2022-07-28 05:25:00
162,162,Asfi,32.2994,-9.2372,67.66,85,1,12.77,MA,2022-07-28 05:25:01
163,163,Berdigestyakh,62.0989,126.6992,87.06,35,0,6.31,RU,2022-07-28 05:25:01
164,164,Gibara,21.1097,-76.1317,78.12,80,19,15.35,CU,2022-07-28 05:25:02
165,165,Tecoanapa,16.5167,-98.75,77.13,89,100,5.14,MX,2022-07-28 05:25:02
166,166,Thinadhoo,0.5333,72.9333,83.44,72,96,13.73,MV,2022-07-28 05:21:17
167,167,Kemijarvi,66.7131,27.4306,52.81,75,54,9.78,FI,2022-07-28 05:25:03
168,168,Srednekolymsk,67.45,153.6833,59.67,39,83,11.18,RU,2022-07-28 05:25:04
169,169,Talcahuano,-36.7167,-73.1167,46.08,93,0,6.91,CL,2022-07-28 05:25:04
170,170,Komsomolskiy,40.4272,71.7189,93.92,24,5,11.5,UZ,2022-07-28 05:25:04
171,171,Nova Olimpia,-14.7972,-57.2881,69.39,42,2,3.09,BR,2022-07-28 05:25:05
172,172,Quebec,46.8123,-71.2145,66.54,91,0,3.44,CA,2022-07-28 05:20:32
173,173,Huilong,31.8111,121.655,87.06,75,0,13.44,CN,2022-07-28 05:25:06
174,174,Jizan,17.3333,42.6667,88.74,54,83,3.31,SA,2022-07-28 05:25:06
175,175,Zhigansk,66.7697,123.3711,79.9,46,41,5.03,RU,2022-07-28 05:25:07
176,176,Talnakh,69.4865,88.3972,61.21,55,89,12.84,RU,2022-07-28 05:19:40
177,177,Port Hueneme,34.1478,-119.1951,71.51,88,100,6.91,US,2022-07-28 05:25:07
178,178,Flinders,-34.5833,150.8552,66.38,57,24,3.94,AU,2022-07-28 05:25:08
179,179,Sabha,27.0377,14.4283,79.2,18,0,8.81,LY,2022-07-28 05:25:08
180,180,Coahuayana,18.7333,-103.6833,77.22,86,98,3.51,MX,2022-07-28 05:26:09
181,181,Port Blair,11.6667,92.75,86.04,74,40,9.22,IN,2022-07-28 05:26:09
182,182,Norman Wells,65.282,-126.8329,60.84,59,75,4.61,CA,2022-07-28 05:26:09
183,183,Isangel,-19.55,169.2667,75.76,87,100,13.49,VU,2022-07-28 05:26:10
184,184,Podgorica,42.4411,19.2636,74.98,64,40,8.05,ME,2022-07-28 05:26:10
185,185,Dukat,62.55,155.55,57.9,37,89,8.84,RU,2022-07-28 05:26:11
186,186,Zhucheng,35.9947,119.3975,87.62,67,100,7.78,CN,2022-07-28 05:26:11
187,187,Maldonado,-34.6667,-54.9167,56.23,98,98,11.1,UY,2022-07-28 05:21:56
188,188,Tynda,55.1667,124.7167,73.33,82,100,2.91,RU,2022-07-28 05:26:12
189,189,Wanning,18.8003,110.3967,90.21,59,52,5.99,CN,2022-07-28 05:26:12
190,190,Quatre Cocos,-20.2078,57.7625,74.08,75,22,12.01,MU,2022-07-28 05:26:13
191,191,Katsuura,35.1333,140.3,83.39,78,47,11.43,JP,2022-07-28 05:26:13
192,192,Ilulissat,69.2167,-51.1,41.02,93,75,2.3,GL,2022-07-28 05:26:14
193,193,Quelimane,-17.8786,36.8883,62.67,79,4,2.8,MZ,2022-07-28 05:26:14
194,194,Mirpur Khas,25.5251,69.0159,89.01,58,100,18.63,PK,2022-07-28 05:26:15
195,195,Khatanga,71.9667,102.5,73.65,44,95,4.72,RU,2022-07-28 05:26:15
196,196,Deputatskiy,69.3,139.9,64.78,39,77,7.11,RU,2022-07-28 05:26:16
197,197,Campos,-21.75,-41.3,62.26,94,0,5.06,BR,2022-07-28 05:23:21
198,198,Hudiksvall,61.729,17.1036,53.42,61,3,12.15,SE,2022-07-28 05:26:16
199,199,Troisvierges,50.1211,6.0003,54.99,69,67,5.86,LU,2022-07-28 05:26:17
200,200,Lompoc,34.6391,-120.4579,61.02,86,100,7.0,US,2022-07-28 05:22:04
201,201,Grindavik,63.8424,-22.4338,48.15,93,75,23.02,IS,2022-07-28 05:26:17
202,202,Cabo San Lucas,22.8909,-109.9124,84.51,81,55,10.33,MX,2022-07-28 05:15:12
203,203,Bontang,0.1333,117.5,80.02,84,100,5.26,ID,2022-07-28 05:26:18
205,205,Ahipara,-35.1667,173.1667,56.64,82,35,13.82,NZ,2022-07-28 05:23:09
