City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Sault Sainte Marie,46.5168,-84.3333,68.56,87,100,6.91,CA,2022-07-27 23:36:50
194,Buraydah,26.326,43.975,93.65,12,97,7.81,SA,2022-07-27 23:39:08
195,Cap Malheureux,-19.9842,57.6142,69.48,78,9,1.99,MU,2022-07-27 23:39:08
196,Steamboat Springs,40.485,-106.8317,87.35,24,0,7.0,US,2022-07-27 23:36:12
197,Atambua,-9.1061,124.8925,73.71,60,43,6.58,ID,2022-07-27 23:35:25
198,Sungaipenuh,-2.0833,101.3833,65.03,91,91,3.0,ID,2022-07-27 23:39:09
199,Newport,51.5877,-2.9984,63.09,72,97,6.17,GB,2022-07-27 23:36:53
200,Cidreira,-30.1811,-50.2056,60.55,85,86,7.65,BR,2022-07-27 23:39:10
201,Atasu,48.6814,71.6433,71.71,41,49,7.31,KZ,2022-07-27 23:39:10
202,Sinnamary,5.3833,-52.95,78.17,84,85,4.54,GF,2022-07-27 23:39:11
203,Yaan,7.3833,8.5667,71.28,97,99,4.76,NG,2022-07-27 23:39:12
204,Srednekolymsk,67.45,153.6833,52.5,49,80,11.59,RU,2022-07-27 23:39:12
205,Harper,4.375,-7.7169,75.31,76,96,11.25,LR,2022-07-27 23:34:19
206,Alice Springs,-23.7,133.8833,38.75,56,9,4.61,AU,2022-07-27 23:39:13
207,Tifton,31.4505,-83.5085,89.56,65,93,3.44,US,2022-07-27 23:39:13
208,Muriwai Beach,-36.8167,174.45,62.19,89,78,16.24,NZ,2022-07-27 23:36:05
209,Waipawa,-41.4122,175.5153,54.39,80,100,9.17,NZ,2022-07-27 23:36:56
210,Pandamatenga,-18.5278,25.627,56.37,53,0,5.01,BW,2022-07-27 23:39:14
211,Castro,-24.7911,-50.0119,57.38,76,49,3.13,BR,2022-07-27 23:38:09
212,Santa Isabel,-23.3156,-46.2214,69.1,86,43,0.18,BR,2022-07-27 23:39:15
213,Brigantine,39.4101,-74.3646,78.21,84,0,9.22,US,2022-07-27 23:39:16
214,Umm Lajj,25.0213,37.2685,85.69,62,96,5.5,SA,2022-07-27 23:39:16
215,Asfi,32.2994,-9.2372,69.49,82,0,15.28,MA,2022-07-27 23:39:17
216,Sobolevo,54.4299,31.8996,59.9,95,100,4.74,RU,2022-07-27 23:39:17
217,Zhigansk,66.7697,123.3711,75.52,52,10,1.97,RU,2022-07-27 23:39:18
218,San Patricio,28.017,-97.5169,92.16,51,100,15.73,US,2022-07-27 23:37:05
219,Adeje,28.1227,-16.726,83.1,61,0,5.75,ES,2022-07-27 23:39:18
220,La Macarena,2.1837,-73.7849,69.87,99,95,3.62,CO,2022-07-27 23:39:19
221,Mehamn,71.0357,27.8492,49.95,100,75,16.11,NO,2022-07-27 23:39:19
222,Narsaq,60.9167,-46.05,52.02,85,16,3.62,GL,2022-07-27 23:39:20
