,City,Country,Max Temp,Lat,Lng,Hotel Name
191,Katsuura,JP,83.39,35.1333,140.3,Katsuura Hotel Mikazuki
192,Ilulissat,GL,41.02,69.2167,-51.1,Hotel Arctic
193,Quelimane,MZ,62.67,-17.8786,36.8883,Hotel Flamingo
194,Mirpur Khas,PK,89.01,25.5251,69.0159,Hotel Al-Fajar
195,Khatanga,RU,73.65,71.9667,102.5,"""Khatanga"""
196,Deputatskiy,RU,64.78,69.3,139.9,Baza Otdykha
197,Campos,BR,62.26,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
198,Hudiksvall,SE,53.42,61.729,17.1036,Best Western Hotell Hudik
199,Troisvierges,LU,54.99,50.1211,6.0003,Hôtel-Restaurant Lamy
200,Lompoc,US,61.02,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
201,Grindavik,IS,48.15,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
202,Cabo San Lucas,MX,84.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
203,Bontang,ID,80.02,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
204,San Antonio Del Tachira,VE,71.78,7.8145,-72.4431,Hotel Villas de San Diego
205,Ahipara,NZ,56.64,-35.1667,173.1667,Ahipara Holiday Park
206,Havoysund,NO,48.43,70.9963,24.6622,Arctic View Glamping & Restaurant
207,Abu Samrah,SY,83.08,35.3029,37.1841,
208,Los Llanos De Aridane,ES,69.12,28.6585,-17.9182,Valle Aridane
209,Ancud,CL,42.67,-41.8697,-73.8203,Hotel Arena Gruesa
210,Mangaratiba,BR,63.46,-22.9597,-44.0406,Portobello Resort & Safari
211,Egvekinot,RU,39.7,66.3167,-179.1667,
212,Amambai,BR,66.34,-23.1042,-55.2258,Keren Hotel
213,Newcastle,AU,68.09,-32.9272,151.7765,NOAH'S on the beach
214,Mayumba,GA,68.13,-3.432,10.6554,LIKWALE LODGE
215,Lagoa,PT,71.04,39.05,-27.9833,Casa Das Faias
216,Tautira,PF,77.38,-17.7333,-149.15,
217,Vestmanna,FO,50.92,62.1564,-7.1664,Vestmanna Camping
219,Kudahuvadhoo,MV,82.63,2.6708,72.8944,Niyama Private Islands Maldives
220,Broken Hill,AU,60.84,-31.95,141.4333,Royal Exchange Hotel
221,Gillette,US,62.94,44.2911,-105.5022,National 9 Inn - Gillette WY
222,Maumere,ID,82.69,-8.6199,122.2111,Sylvia Hotel
223,Charters Towers,AU,71.89,-20.1,146.2667,Cattleman's Rest Motor Inn
224,Jamestown,US,71.24,42.097,-79.2353,Hampton Inn & Suites Jamestown
225,Prado,BR,68.16,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
226,Kpandae,GH,72.63,8.4689,-0.0113,Catholic Guest House
227,Westport,US,75.49,41.1415,-73.3579,The Westport Inn
228,Aberdeen,GB,54.5,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
229,Necochea,AR,49.12,-38.5473,-58.7368,dyd -mar Hotel
230,Abha,SA,68.25,18.2164,42.5053,Abha Hotel
231,Portland,US,82.8,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
232,Chara,RU,76.32,56.9064,118.2631,
233,Gari,RU,69.1,59.4307,62.3497,
234,Nelson Bay,AU,64.45,-32.7167,152.15,Mantra Nelson Bay
235,Fairbanks,US,61.61,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
236,Princeton,US,84.0,25.5384,-80.4089,American Best Inn
237,Corinto,GR,88.9,37.9407,22.9573,Ephira Hotel
238,San Francisco,US,66.76,37.7749,-122.4194,Edwardian Hotel
239,Qazvin,IR,82.02,36.2797,50.0049,
240,Chapais,CA,64.18,49.7834,-74.8492,Hôtel Opémiska
241,Presidente Medici,BR,71.35,-11.1753,-61.9014,Oliveira Palace Hotel
242,Cozumel,MX,80.67,20.5083,-86.9458,
243,Cabedelo,BR,70.47,-6.9811,-34.8339,Pousada Camboinha
244,Nicolas Bravo,MX,72.95,18.45,-88.9167,
245,Sakakah,SA,90.97,29.9697,40.2064,Fakhamat Al Orjoana Apartment
246,Ribeira Grande,PT,72.16,38.5167,-28.7,Quinta da Meia Eira
247,Necocli,CO,74.97,8.4234,-76.786,Hotel Boutique El Turista
248,Caravelas,BR,67.03,-17.7125,-39.2481,Pousada dos Navegantes
249,Nalut,LY,78.66,30.3333,10.85,
250,Kavaratti,IN,79.57,10.5669,72.642,Green leaf
251,Kruisfontein,ZA,51.94,-34.0033,24.7314,Oyster Bay House Rental
252,Fort-Shevchenko,KZ,76.32,44.5086,50.263,Oasis hotel Bautino
253,Provideniya,RU,44.71,64.3833,-173.3,
254,Hasaki,JP,91.8,35.7333,140.8333,Inubosaki Kanko Hotel
255,Kununurra,AU,82.38,-15.7667,128.7333,Hotel Kununurra
256,Wajima,JP,86.68,37.4,136.9,Wajiima Onsen Yashio
257,Piazza Armerina,IT,76.55,37.3859,14.3672,Park Hotel Paradiso
258,Itacarambi,BR,62.29,-15.1022,-44.0919,POUSADA CAMALEÃO
259,Old Town,CZ,60.28,50.087,14.4202,Botanique Hotel Prague
260,Ocos,GT,75.38,14.5094,-92.1933,Auto Hotel El Soñador
261,Aswan,EG,89.49,24.0934,32.907,Nuba Nile
262,Severo-Kurilsk,RU,54.9,50.6789,156.125,Kak Doma
263,Culaman,PH,84.25,5.9603,125.6586,Jasmin Ex House
264,Kutum,SD,72.68,14.2,24.6667,Dibbo areaمنطقة دبو
265,Uruguaiana,BR,67.93,-29.7547,-57.0883,Fares Turis Hotel
266,Nemuro,JP,65.01,43.3236,145.575,Hotel Nemuro Kaiyoutei
267,Erzurum,TR,60.48,40.0,41.5,Saksi Koyu Muhtarligi
268,Nanortalik,GL,42.13,60.1432,-45.2371,Hotel Kap Farvel
269,Shetpe,KZ,77.04,44.1667,52.1167,Rtsm Shetpe Analog
270,Tura,IN,82.4,25.5198,90.2201,Hotel RIKMAN Continental
271,Namibe,AO,60.76,-15.1961,12.1522,Hotel Chik Chik Namibe
272,Camana,PE,59.32,-16.6228,-72.7111,Hostal Morales
273,Kolokani,ML,75.24,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
274,Trelew,AR,39.15,-43.249,-65.3051,Hotel Touring Club
275,Lisala,CD,70.0,2.15,21.5167,Guest house Eden
276,Rioja,AR,52.05,-29.4111,-66.8507,Hotel Libertador
277,Gazanjyk,TM,91.83,39.2446,55.5154,Railway motel
278,Abu Kamal,SY,92.53,34.4506,40.9171,البوكمال
279,Sergeyevka,KZ,63.36,53.88,67.4158,Amina
280,Harper,LR,75.02,4.375,-7.7169,Screensaver
281,Mandalgovi,MN,77.4,45.7625,106.2708,В.Ганбат
282,Benguela,AO,66.58,-12.5763,13.4055,Hotel Praia Morena
283,Upernavik,GL,40.35,72.7868,-56.1549,Café de Upernavik
284,Sorland,NO,49.86,67.667,12.6934,Sjybrygga fiskecamp
285,Loandjili,CG,68.11,-4.7561,11.8578,Résidence ARCHANGE
286,Luziania,BR,55.09,-16.2525,-47.9503,HOTEL SARON
287,Khani,GE,63.97,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
288,Guerrero Negro,MX,68.27,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
289,Geraldton,AU,72.01,-28.7667,114.6,Broadwater Mariner Resort
290,Nizhnevartovsk,RU,66.22,60.9344,76.5531,Luch
291,Coquimbo,CL,51.53,-29.9533,-71.3436,Hotel San Juan
292,Nabire,ID,83.26,-3.3667,135.4833,Hotel Nusantara I
293,Manzanillo,CU,75.88,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
294,Akcakoca,TR,72.81,41.0866,31.1162,Turkuaz Beach Otel
295,Excelsior Springs,US,77.88,39.3392,-94.2261,The Elms Hotel & Spa
296,Husavik,IS,51.96,66.0449,-17.3389,Bjarnabúð
297,Bengkulu,ID,85.37,-3.8004,102.2655,Grage Hotel Bengkulu
298,Clyde River,CA,37.63,70.4692,-68.5914,Qamaq Hotel
299,Paamiut,GL,42.64,61.994,-49.6678,Pistut
300,Mandan,US,62.58,46.8267,-100.8896,Twin City Estates
301,Maple Creek,CA,66.61,49.9168,-109.4848,Willowbend Campground & Cabins
302,Half Moon Bay,US,64.81,37.4636,-122.4286,
303,Pindushi,RU,63.34,62.9152,34.58,Solnechnyy
